station_name_nmbs,station_uic,avg_week,avg_sat,avg_sun
TUBIZE,8883808,2.149,1.063,664
TURNHOUT,8821907,1.010,535,902
UCCLE/UKKEL-CALEVOET,8814134,593,264,130
UCCLE/UKKEL-STALLE,8814126,151,110,73
VELTEM,8811270,190,210,38
VERTRIJK,8833050,247,134,105
VERVIERS-CENTRAL,8844008,3.623,2.096,1.990
VERVIERS-PALAIS,8844057,73,11,32
VEURNE,8892304,353,181,356
VIANE-MOERBEKE,8895612,268,59,60
VICHTE,8896230,158,-,-
VIELSALM,8845146,232,81,126
VIJFHUIZEN,8895489,27,-,-
VILLE-POMMEROEUL,8884632,12,-,-
VILLERS-LA-VILLE,8872579,185,37,38
VILVOORDE,8811189,3.315,1.947,1.263
VIRTON,8866407,257,52,113
VISE,8846201,486,390,320
VIVIER D'OIE/DIESDELLE,8814464,559,114,91
VIVILLE,8866118,14,7,5
VOROUX,8841327,63,-,-
WAARSCHOOT,8893815,135,69,30
WALCOURT,8873007,232,61,63
WAREGEM,8896149,1.917,425,464
WAREMME,8841400,1.296,238,127
WATERLOO,8814266,1.499,640,387
WATERMAEL/WATERMAAL,8811429,157,142,114
WAVRE,8811726,719,368,296
WEERDE,8822251,303,81,58
WELKENRAEDT,8844503,1.062,744,649
WELLE,8895851,97,-,-
WERVIK,8896396,581,185,177
WESPELAAR-TILDONK,8822525,295,49,45
WETTEREN,8893559,1.560,651,637
WEVELGEM,8896370,351,173,138
WEZEMAAL,8833233,455,192,110
WICHELEN,8893534,108,-,-
WIJGMAAL,8833175,306,47,46
WILDERT,8821436,165,87,61
WILLEBROEK,8822608,372,181,207
WOLFSTEE,8821709,18,-,-
WONDELGEM,8893211,130,49,24
YVES-GOMEZEE,8873239,44,6,11
YVOIR,8863545,401,200,181
ZANDBERGEN,8895737,144,39,34
ZAVENTEM,8811221,984,399,295
ZEDELGEM,8891264,341,128,248
ZEEBRUGGE-DORP,8891553,181,-,-
ZEEBRUGGE-STRAND,8891173,-,177,159
ZELE,8894235,604,155,113
ZELLIK,8812062,296,95,74
ZICHEM,8833274,163,81,99
ZINGEM,8892635,344,79,65
ZOLDER,8832250,66,23,18
ZONHOVEN,8832334,41,18,19
ZOTTEGEM,8895208,2.774,580,525
ZWIJNDRECHT,8894821,183,196,28
